,link,title,year,synopsis
608,/wiki/Love_(ft._Marriage_and_Divorce),Love (ft. Marriage and Divorce),2021,"The series tells the story of three married couples, each in their 30s, 40s and 50s.
"
609,/wiki/Love_Again_(TV_series),Love Again (TV series),2012,"At the reunion of an astronomy club, friends meet again for the first time in 30 years. As they recall their golden days, they start having feelings for each other.
"
610,/wiki/Love_Alarm,Love Alarm,2019–21,"Love Alarm revolves around the story of a technology that enables users to discover love through an application that notifies whether someone within the range of a 10-meter radius has romantic feelings for them.
"
611,/wiki/Love_Alert,Love Alert,2018,"The series is about a celibate doctor named Cha Woo-hyun (Chun Jung-myung) who gets involved in a scandal with top actress Yoon Yoo-jung (Yoon Eun-hye) for inexplicable reasons. The two sign a contract where they have to pretend to be in love to achieve their mutual goals.
"
612,/wiki/Love_Can%27t_Wait_(TV_series),Love Can't Wait (TV series),2006,"Cheerful and flighty high school senior Seo Eun-min (Lee Young-ah) meets Tae-kyeong (Hong Kyung-min), an independent and responsible law student, when she goes to the university library to run an errand for her sister. She instantly falls in love and lies to him that she's a scriptwriter. They start dating, and Tae-kyeong falls in love with the charming Eun-min. However, Eun-min's lie does not last long when they meet again as private tutor and student. Since Eun-min hates studying more than anything, Tae-kyeong tells her that she should do something else with her life if she does not want to go to college, and drags her to the Haja Center. Knowing that he has faith in her and wants what's best for her, Eun-min impulsively decides to marry him. Proud that Tae-kyeong is the first thing that's hers alone, at first Eun-min treats their marriage as an accomplishment in itself and their poor circumstances as a game: she does not mind that their ₩10 million basement apartment is windowless, and has leaky ceilings and rats. But the hardships of poverty and newlywed life soon make her grow up fast.
"
613,/wiki/Love_for_a_Thousand_More,Love for a Thousand More,2016,"Story about a 1,000-year-old woman named Pyeon Mi-jo (Hwang Seung-eon), who became immortal after she met a certain unidentified man. She has been offering her love counseling services to people based on her experiences over the past 1,000 years, until she finds true love with Yoo Jun-woo (Kang Seung-yoon) who is the leader of the hip-hop crew Krunk Soul.
"
614,/wiki/Love_in_3_Colors,Love in 3 Colors,1999,
615,/wiki/Love_in_Her_Bag,Love in Her Bag,2013,"Despite her poverty, home abuse from her aunt (who took her in following her mother's death), and lack of education or connections, bright and plucky Eun Jung-soo (Choi Jung-won) works her way up in the luxury handbag industry based on sheer talent alone. She encounters Do Jin-hoo (Kim Jeong-hoon), the smart and handsome chaebol heir of a fashion company, and Kim Seo-hyun (Son Eun-seo) who has to hide her true identity as Eun Kyung-hee, Jung-soo's cousin who, with her mother's help, usurped Jung-soo's place as the adopted daughter of a rich woman, in order to achieve her dreams.
"
616,/wiki/Love_in_Sadness,Love in Sadness,2019,"Yoon Ma-ri (Park Han-byul) is in an unhappy marriage with Kang In-wook (Ryu Soo-young), an abusive,  and obsessively possessive husband who is also a chaebol. She meets Seo Jung-won (Ji Hyun-woo), a kind-hearted plastic surgeon. After seeing the abuse she receives, Seo Jung-won operates on her face to help her start a new life with a new identity.
"
617,/wiki/Love_in_the_Moonlight,Love in the Moonlight,2016,"The series is a coming of age story about Crown Prince, Lee Yeong's (Park Bo-gum) growth from a boy into revered monarch, and his unlikely relationship with eunuch, Hong Ra-on (Kim Yoo-jung).
"
618,/wiki/Love_Letter_(TV_series),Love Letter (TV series),2003,
619,/wiki/Love_Me_When_You_Can,Love Me When You Can,2006–07,"After discovering her husband's affair, Oh Sun-ae (Ha Hee-ra) tries to start a new life, but when the past (along with the new woman) just won't go away, moving on is not easy. Still, Oh Sun-ae is determined.
"
620,/wiki/Love_on_a_Rooftop_(South_Korean_TV_series),Love on a Rooftop (South Korean TV series),2015,"Set in a 450-year-old house named ""Dongrakdang"" in Bukchon Hanok Village, Yoon Seung-hye and the people around her must deal with the aftermath of her adoption and its dissolution.
"
621,/wiki/Love_Playlist,Love Playlist,2017–19,"Love Playlist revolves around a group of college students as they learn about the joys and sorrows of relationships and breakups.
"
622,/wiki/Love_Rain,Love Rain,2012,"It's love at first sight when Seo In-ha (Jang Keun-suk) and Kim Yoon-hee (Im Yoon-ah) meet as shy university students in the seventies. It takes time for the hesitant pair to finally voice their feelings, but circumstances beyond their control send them down different paths. In 2012, In-ha (Jung Jin-young) is now unhappily married to Baek Hye-jung, one of Yoon-hee's former best friends. He has never gotten over his first love, and when he runs into Yoon-hee (Lee Mi-sook) after so many years, the two reconcile and look forward to making up for lost time.
"
623,/wiki/Love_Returns_(TV_series),Love Returns (TV series),2017–18,"The drama follows the life a woman who ends up losing everything after living a turbulent life. When she starts anew from the bottom, her life blossoms. The value that holds us together is not blood nor law, but rather the love and affection between us.
"
624,/wiki/Love_Revolution_(web_series),Love Revolution (web series),2020,"17-year-old Gong Joo-young (Park Ji-hoon), a cute and lovable high school student, falls deeply in love at first sight with the pretty but standoffish Wang Ja-rim (Lee Ruby). Thinking they are destined for each other, Joo-young perseveres in winning her heart, while Ja-rim is almost always annoyed with his gaudy displays of affection.
"
625,/wiki/Love_Scene_Number,Love Scene Number,2021,"An omnibus miniseries which tells the complex love stories of four women aged between 23 and 42.
"
626,/wiki/Love_Story_in_Harvard,Love Story in Harvard,2004–05,"The first half of the series is set at Harvard University and is mainly concerned with the burgeoning relationship between a Harvard Law School student, Kim Hyun-woo (Kim Rae-won), and a Harvard Medical School student, Lee Soo-in (Kim Tae-hee).
"
627,/wiki/Love_to_the_End,Love to the End,2018,
628,/wiki/Love_Truly,Love Truly,2006,"Yeo Bong-soon (Eugene) (Aileen Yeo), grew up in the provinces, but is given a chance to become a chef at the presidential residence, the Blue House. At first, she seems out of touch with the real world and people find her naïve. However, her sweetness, thoughtfulness, and diligence made it easier for the people around her to like her and eventually accept her for who she is.
"
629,/wiki/Love_with_Flaws,Love with Flaws,2019–20,"A romantic comedy story about two imperfect people who fell in love with each other. The female protagonist Joo Seo-yeon, who hates men with pretty faces believing that good looking men are nothing but trouble, basing it on her experiences growing up with her three good looking brothers, the male protagonist Lee Kang-woo, who have misconceptions about her at first, and how the people with flaws get over their prejudice.
"
630,/wiki/Loveholic_(TV_series),Loveholic (TV series),2005,"In a high school in Chuncheon, a rebellious, disobedient student named Seo Kang-wook meets a young and naive teacher Lee Yeol-joo, and despite everything, they fall in love.
"
631,/wiki/Lovely_Horribly,Lovely Horribly,2018,"Philip (Park Si-hoo) and Eul-soon (Song Ji-hyo) are bound by an unusual fate: one's happiness always results in the other's misfortune. The two start writing a drama together, and the events in the screenplay mysteriously begin occurring in real life.
"
632,/wiki/Lovers_(TV_series),Lovers (TV series),2006–07,"Yoon Mi-ju (Kim Jung-eun) is the daughter of a reverend, who has adopted many children and set up an orphanage, and works as a plastic surgeon in a hospital, although her dream is to open a clinic of her own. Ha Kang-jae (Lee Seo-jin) is an orphan raised by Kang Choong-shik, a gangland boss, and his trusty right hand. The two meet when Mi-ju mistakes Kang-jae for her adoptive sister's former boyfriend, who dumped her after discovering she was pregnant; as Mi-ju learns a little later, Kang-jae is actually in a relationship with Park Yu-jin (Kim Gyu-ri), Mi-ju's neighbor. Kang-jae is also the potential buyer for the land that houses Reverend Yoon's orphanage, and that Mi-ju wants to sell, not knowing that the land and the house are at risk for seizure because of his father. When Kang-jae is wounded by some Chinese gangsters, Mi-ju treats him and he begins to fall for her; meanwhile, Kang Se-yeon (Jung Chan), son of the boss Kang-jae works for, falls in love with Mi-ju, who his mother wants as a daughter in law because she considers her a good catch.
"
633,/wiki/Lovers_in_Bloom,Lovers in Bloom,2017,
634,/wiki/Lovers_in_Paris,Lovers in Paris,2004,"Kang Tae-young (Kim Jung-eun) is the daughter of a film director and carrying on her father's wishes, she studies film in Paris. To make ends meet, she works as a housekeeper for Han Ki-joo (Park Shin-yang), which she loves because she can watch his movies and drink his wine.
"
635,/wiki/Lovers_in_Prague,Lovers in Prague,2005,"The president's daughter, Yoon Jae-hee (Jeon Do-yeon) is a Korean diplomat in Prague, Czech Republic. She has only recently recovered from a devastating break up five years earlier with Ji Young-woo (Kim Min-joon), the son of a prominent Korean businessman. Choi Sang-hyun (Kim Joo-hyuk) is a detective who goes to Prague searching for his ex-girlfriend Hye-joo (Yoon Se-ah). Hye-joo broke up with Sang-hyun over the phone from Prague and Sang-hyun cannot accept it.
"
